"id_bnvd";"libelle_bnvd";"cas_bnvd";"index_eupdb";"libelle_eupdb";"cas_eupdb";"etat_reg_1107_2009";"date_approbation";"date_expiration_approbation";"evaluation_risque_par";"em_rapporteur";"co_em_rapporteur";"legislations_anciennes";"legislations_actives";"autorisations_pays";"autorisation_france"
"10_sub_bnvd";"1 iso thiazolinon chloromethyl";"55965-84-9";"";"";"";"";"";"";"";"";"";"";"";"";""
"11_sub_bnvd";"1,3-dichloropropene";"542-75-6";"384";"1,3-Dichloropropene";"542-75-6";"En attente d'évaluation";"";"";"";"EL";"BE";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32007D0619:EN:NOT"">2007/619/EC</a>";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011D0036:EN:NOT"">2011/36/EU</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/740/oj"">Reg. (EU) 2022/740</a>";"";""
"12_sub_bnvd";"1,4-dimethylnaphtalene";"571-58-4";"1203";"1,4-Dimethylnaphthalene";"571-58-4";"Approuvée";"2014-07-01";"2027-11-30";"EFSA";"AT";"PL";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32010D0244:EN:NOT"">2010/244/EU</a>";"<a href=""http://eur-lex.europa.eu/eli/reg_impl/2018/155/oj"">Reg. (EU) 2018/155</a>; <a href=""https://eur-lex.europa.eu/eli/reg_impl/2020/2007/oj"">Reg. (EU) 2020/2007</a>; <a href=""http://data.europa.eu/eli/reg_impl/2025/787/oj"">Reg. (EU) 2025/787</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32014R0192:EN:NOT"">Reg. (EU) No 192/2014</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:02011R0540-20150701"">Reg. (EU) No 540/2011</a>";"AT, BE, BG, CY, CZ, DE, DK, ES, FI, FR, HR, IE, IT, LT, LV, NO, PL, PT, SE";"Oui"
"13_sub_bnvd";"1,5-diaminopentane";"462-94-2";"";"";"";"";"";"";"";"";"";"";"";"";""
"14_sub_bnvd";"1-dodecanol";"112-53-8";"1064";"Dodecan-1-ol (SCLP Alcohols)";"112-53-8";"Approuvée";"2022-09-01";"2037-08-30";"EFSA";"";"";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008L0127:EN:NOT"">2008/127</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1503309323015&uri=CELEX:32017R0195"">Reg. (EU) 2017/195</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1599215034729&uri=CELEX:32020R1160"">Reg. (EU)2020/1160</a>";"<a href=""http://data.europa.eu/eli/reg_impl/2021/745/oj"">Reg. (EU) 2021/745</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1251/oj"">Reg. (EU) 2022/1251</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014R0918"">Reg. (EU) No 918/2014</a>";"AT, BE, BG, CZ, DK, EL, ES, HR, HU, IT, NL, PL, PT, SE, SI, SK";"Non"
"15_sub_bnvd";"1-methylcyclopropene (1-mcp)";"3100-04-7";"390";"1-methylcyclopropene";"3100-04-7";"Approuvée";"2019-08-01";"2034-07-31";"EFSA";"NL";"";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32006L0019:EN:NOT"">06/19/EC</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1505911130555&uri=CELEX:32017R1511"">Reg. (EU) 2017/1511</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1537974747851&uri=CELEX:32018R1262"">Reg. (EU) 2018/1262</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32013R0533:EN:NOT"">Reg. (EU) No 533/2013</a>";"<a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1561560712629&uri=CELEX:32019R1085"">Reg. (EU) 2019/1085</a>; <a href=""https://eur-lex.europa.eu/eli/reg_impl/2025/881/oj"">Reg. (EU) 2025/881</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>";"AT, BE, BG, CZ, DE, DK, EE, EL, ES, FR, HR, HU, IE, IT, LT, LU, NO, PL, PT, RO, SE, SI, SK";"Oui"
"16_sub_bnvd";"1-tetradecanol";"112-72-1";"1384";"Tetradecan-1-ol (SCLP Alcohols)";"63393-82-8";"Approuvée";"2022-09-01";"2037-08-30";"EFSA";"";"";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008L0127:EN:NOT"">2008/127</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1503309323015&uri=CELEX:32017R0195"">Reg. (EU) 2017/195</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1599215034729&uri=CELEX:32020R1160"">Reg. (EU)2020/1160</a>";"<a href=""http://data.europa.eu/eli/reg_impl/2021/745/oj"">Reg. (EU) 2021/745</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1251/oj"">Reg. (EU) 2022/1251</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014R0918"">Reg. (EU) No 918/2014</a>";"AT, BE, BG, CZ, DK, EL, ES, HR, HU, IT, NL, PL, PT, SE, SI, SK";"Non"
"17_sub_bnvd";"2 phenyl-phenol";"90-43-7";"1013";"2-Phenylphenol (incl. sodium salt orthophenyl phenol)";"90-43-7";"Approuvée";"2010-01-01";"2027-11-15";"EFSA";"ES";"EL";"";"<a href=""http://data.europa.eu/eli/reg_impl/2022/1480/oj"">Reg. (EU) 2022/1480</a>; <a href=""http://data.europa.eu/eli/reg_impl/2023/2592/oj"">Reg. (EU) 2023/2592</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>";"CY, EL, ES, HR, PT";"Non"
"18_sub_bnvd";"2,4-d";"94-75-7";"394";"2,4-D";"94-75-7";"Approuvée";"2016-01-01";"2030-12-31";"EFSA";"EL";"";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32001L0103:EN:NOT"">01/103/EC</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32010L0077"">2010/77/EU</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32015R1885"">Reg. (EU) 2015/1885</a>";"<a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32015R2033"">Reg. (EU) 2015/2033</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>";"AT, BE, BG, CY, CZ, DE, DK, EE, EL, ES, FI, FR, HU, IE, IT, LT, LU, LV, MT, NL, NO, PL, PT, RO, SE, SI, SK";"Oui"
"19_sub_bnvd";"2,4-db";"94-82-6";"395";"2,4-DB";"94-82-6";"Approuvée";"2017-11-01";"2032-10-31";"EFSA";"EL";"IE";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32003L0031:EN:NOT"">03/31/EC</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32016R0950"">Reg. (EU) 2016/950</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32012R0823:EN:NOT"">Reg. (EU) No 823/2012</a>";"<a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1505206923453&uri=CELEX:32017R1491"">Reg. (EU) 2017/1491</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>";"ES, HR";"Non"
"20_sub_bnvd";"2,4-mcpa";"94-74-6";"1324";"MCPA";"see remark";"Approuvée";"2006-05-01";"2026-08-15";"COM";"PL";"NL";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32005L0057:EN:NOT"">05/57/EC</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1505911130555&uri=CELEX:32017R1511"">Reg. (EU) 2017/1511</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1537974747851&uri=CELEX:32018R1262"">Reg. (EU) 2018/1262</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1569849607755&uri=CELEX:32019R1589"">Reg. (EU) 2019/1589</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32013R0762:EN:NOT"">Reg. (EU) No 762/2013</a>";"<a href=""http://data.europa.eu/eli/reg_impl/2021/1449/oj"">Reg. (EU) 2021/1449</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1480/oj"">Reg. (EU) 2022/1480</a>; <a href=""http://data.europa.eu/eli/reg_impl/2023/1757/oj"">Reg. (EU) 2023/1757</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1603180526907&uri=CELEX:32020R1511"">Reg. (EU)2020/1511</a>";"AT, BE, BG, CY, CZ, DE, DK, EE, EL, ES, FI, FR, HR, HU, IE, IT, LT, LU, LV, MT, NL, NO, PL, PT, SE, SI, SK";"Oui"
"21_sub_bnvd";"2,4-mcpb";"94-81-5";"279";"MCPB";"94-81-5";"Approuvée";"2006-05-01";"2026-08-15";"COM";"PL";"NL";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32005L0057:EN:NOT"">05/57/EC</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1505911130555&uri=CELEX:32017R1511"">Reg. (EU) 2017/1511</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1537974747851&uri=CELEX:32018R1262"">Reg. (EU) 2018/1262</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1569849607755&uri=CELEX:32019R1589"">Reg. (EU) 2019/1589</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32013R0762:EN:NOT"">Reg. (EU) No 762/2013</a>";"<a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1603180526907&uri=CELEX:32020R1511"">Reg. (EU) 2020/1511</a>; <a href=""http://data.europa.eu/eli/reg_impl/2021/1449/oj"">Reg. (EU) 2021/1449</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1480/oj"">Reg. (EU) 2022/1480</a>; <a href=""http://data.europa.eu/eli/reg_impl/2023/1757/oj"">Reg. (EU) 2023/1757</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>";"AT, BE, CZ, EE, FR, HU, IE, LT, LU, LV, PL, SK";"Oui"
"22_sub_bnvd";"2-methyl-1-naphtylacetamide";"85-07-4";"1322";"Methylnaphthylacetamide";"No CAS allocated";"Non approuvée";"";"";"";"";"";"";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2076:EN:NOT"">2002/2076</a>";"";""
"23_sub_bnvd";"6-benzyladenine";"1214-39-7";"1044";"6-Benzyladenine";"1214-39-7";"Approuvée";"2011-06-01";"2026-07-15";"EFSA";"SE";"NL";"";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011L0001:EN:NOT"">2011/1/EU</a>; <a href=""http://data.europa.eu/eli/reg_impl/2024/1206/oj"">Reg. (EU) 2024/1206</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg.(EU) No 540/2011</a>";"BE, CZ, DE, DK, EE, EL, ES, FI, FR, HR, HU, IE, IT, LU, NL, PL, PT, SE, SI, SK";"Oui"
"24_sub_bnvd";"8-hydroxiquinoline";"148-24-3";"1047";"Quinolin-8-ol";"148-24-3";"Approuvée";"2025-07-01";"2032-06-30";"EFSA";"ES";"NL";"";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32006D0797:EN:NOT"">2006/797/EC</a>; <a href=""http://data.europa.eu/eli/reg_impl/2025/1152/oj"">Reg (EU) 2025/1152</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1510838493546&uri=CELEX:32017R2065"">Reg. (EU) 2017/2065</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:02011R0540-20150701"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0993:EN:NOT"">Reg. (EU) No 993/2011</a>";"AT, BE, BG, CY, DE, EL, FR, HR, HU, IT, SI";"Oui"
"25_sub_bnvd";"abamectine";"71751-41-2";"1048";"Abamectin (aka avermectin)";"71751-41-2";"Approuvée";"2023-04-01";"2038-03-31";"EFSA";"AT";"MT";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008L0107:EN:NOT"">2008/107</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1493284224650&uri=CELEX:32017R0438"">Reg. (EU) 2017/438</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1549451630560&uri=CELEX:32019R0168"">Reg. (EU) 2019/168</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1585211275873&uri=CELEX:32020R0421"">Reg. (EU) 2020/421</a>";"<a href=""https://eur-lex.europa.eu/eli/reg_impl/2021/566/oj"">Reg. (EU) 2021/566</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/378/oj"">Reg. (EU) 2022/378</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/378/oj"">Reg. (EU) 2022/378</a>; <a href=""http://data.europa.eu/eli/reg_impl/2023/515/oj"">Reg. (EU) 2023/515</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>";"BE, BG, CY, CZ, DE, DK, EL, ES, FR, HR, HU, IT, MT, NL, PL, PT, SE";"Oui"
"26_sub_bnvd";"abe-it 56";"";"1307";"ABE-IT 56";"No CAS allocated";"Approuvée";"2019-05-20";"2034-05-20";"EFSA";"FR";"PT";"";"<a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1556806107504&uri=CELEX:32019R0676"">Reg.(EU) 2019/676</a>";"CZ, DE, ES, FR, PT";"Oui"
"27_sub_bnvd";"acequinocyl";"57960-19-7";"1209";"Acequinocyl";"57960-19-7";"Approuvée";"2014-09-01";"2026-11-15";"EFSA";"DE";"NL";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32003D0636:EN:NOT"">Dossier complete 03/636/EC</a>";"<a href=""http://eur-lex.europa.eu/eli/reg_impl/2018/155/oj"">Reg. (EU) 2018/155</a>; <a href=""https://eur-lex.europa.eu/eli/reg_impl/2020/2007/oj"">Reg. (EU) 2020/2007</a>; <a href=""http://data.europa.eu/eli/reg_impl/2024/2221/oj"">Reg. (EU) 2024/2221</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1404133592717&uri=CELEX:32014R0496"">Reg. (EU) No 496/2014</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:02011R0540-20150701"">Reg. (EU) No 540/2011</a>";"AT, BE, BG, CY, CZ, DE, EL, ES, FR, HR, IT, NL, PL, PT, SI";"Oui"
"28_sub_bnvd";"acetamipride";"135410-20-7";"1050";"Acetamiprid";"135410-20-7";"Approuvée";"2018-03-01";"2033-02-28";"EFSA";"DE";"ES";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32004L0099:EN:NOT"">04/99/EC</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1482168922783&uri=CELEX:32016R2016"">Reg. (EU) 2016/2016</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32012R1197:EN:NOT"">Reg. (EU) No 1197/2012</a>";"<a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1520336385887&uri=CELEX:32018R0113"">Reg. (EU) 2018/113</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>";"AT, BE, BG, CY, CZ, DE, DK, EE, EL, ES, FI, HR, HU, IE, IT, LT, LU, LV, MT, NL, NO, PL, PT, RO, SE, SI, SK";"Non"
"29_sub_bnvd";"acetate d'ammonium";"631-61-8";"1569";"Ammonium Acetate";"631-61-8";"Non approuvée";"";"";"";"";"";"";"";"";""
"30_sub_bnvd";"acetate de e-8-dodecenyle";"38363-29-0";"361";"(E)-8-Dodecen-1-yl acetate (SCLP Acetates)";"38363-29-0";"Approuvée";"2022-09-01";"2037-08-30";"EFSA";"AT";"";"<a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32008L0127:EN:NOT"">2008/127</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1503309323015&uri=CELEX:32017R0195"">Reg. (EU) 2017/195</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1599215034729&uri=CELEX:32020R1160"">Reg. (EU)2020/1160</a>";"<a href=""http://data.europa.eu/eli/reg_impl/2021/745/oj"">Reg. (EU) 2021/745</a>; <a href=""http://data.europa.eu/eli/reg_impl/2022/1251/oj"">Reg. (EU) 2022/1251</a>; <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32011R0540:EN:NOT"">Reg. (EU) No 540/2011</a>; <a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32014R0918"">Reg. (EU) No 918/2014</a>";"AT, BG, DE, EL, ES, FR, IT, NL, PT, SI";"Oui"
