"id_bnvd";"libelle_bnvd";"cas_bnvd";"vtr_nom";"vtr_remarque_agritox";"vtr_valeur_agritox";"vtr_unite_agritox";"vtr_source_agritox";"vtr_etude_pivot_agritox";"vtr_etude_pivot_noael_valeur_agritox";"vtr_etude_pivot_noael_unite_agritox";"vtr_fs_agritox";"vtr_fcaoi_agritox";"vtr_remarque_eupdb";"vtr_valeur_eupdb";"vtr_unite_eupdb";"vtr_source_eupdb"
"4_sub_bnvd";"(e,z)-7,9-dodecadien-1-yl acetate";"55774-32-8";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"5_sub_bnvd";"(e,z,z)-3,8,11-tetradecatrien-1-yl acetate";"163041-94-9";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"5_sub_bnvd";"(e,z,z)-3,8,11-tetradecatrien-1-yl acetate";"163041-94-9";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"5_sub_bnvd";"(e,z,z)-3,8,11-tetradecatrien-1-yl acetate";"163041-94-9";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"5_sub_bnvd";"(e,z,z)-3,8,11-tetradecatrien-1-yl acetate";"163041-94-9";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"6_sub_bnvd";"(z)-11-hexadecenal";"53939-28-9";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"6_sub_bnvd";"(z)-11-hexadecenal";"53939-28-9";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"6_sub_bnvd";"(z)-11-hexadecenal";"53939-28-9";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"6_sub_bnvd";"(z)-11-hexadecenal";"53939-28-9";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"7_sub_bnvd";"(z)-8-dodecenol";"40642-40-8";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"7_sub_bnvd";"(z)-8-dodecenol";"40642-40-8";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"7_sub_bnvd";"(z)-8-dodecenol";"40642-40-8";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"7_sub_bnvd";"(z)-8-dodecenol";"40642-40-8";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"8_sub_bnvd";"(z)-9-dodecenylacetate";"16974-11-1";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"8_sub_bnvd";"(z)-9-dodecenylacetate";"16974-11-1";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"8_sub_bnvd";"(z)-9-dodecenylacetate";"16974-11-1";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"8_sub_bnvd";"(z)-9-dodecenylacetate";"16974-11-1";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"9_sub_bnvd";"(z,z)-3,13-octadecadienyl acetate";"53120-27-7";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"9_sub_bnvd";"(z,z)-3,13-octadecadienyl acetate";"53120-27-7";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"Not appl.";"";"";"Dir 08/127"
"9_sub_bnvd";"(z,z)-3,13-octadecadienyl acetate";"53120-27-7";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"Not appl.";"";"";"Dir 08/127"
"9_sub_bnvd";"(z,z)-3,13-octadecadienyl acetate";"53120-27-7";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"Not appl.";"";"";"Dir 08/127"
"10_sub_bnvd";"1 iso thiazolinon chloromethyl";"55965-84-9";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11_sub_bnvd";"1,3-dichloropropene";"542-75-6";"AOEL";"";"";"";"";"";"";"";"";"";"";0.1;"mg/kg bw/day";"EFSA 06"
"11_sub_bnvd";"1,3-dichloropropene";"542-75-6";"DJA";"";"";"";"";"";"";"";"";"";"";0.0125;"mg/kg bw/day";"EFSA 06"
"11_sub_bnvd";"1,3-dichloropropene";"542-75-6";"DRfA";"";"";"";"";"";"";"";"";"";"";0.2;"mg/kg bw";"EFSA 06"
"12_sub_bnvd";"1,4-dimethylnaphtalene";"571-58-4";"AOEL";"";0.32;"mg/kg/j";"UE 01/07/14";"90 jours, voie orale, rat";"32";"mg/kg/p.c./j";100;"non nécessaire";"";0.32;"mg/kg bw/day";"EFSA 2013"
"12_sub_bnvd";"1,4-dimethylnaphtalene";"571-58-4";"DJA";"";0.1;"mg/kg/j";"UE 01/07/14";"2 ans, voie orale, rat";"10";"mg/kg/p.c./j";100;"non nécessaire";"";0.1;"mg/kg bw/day";"EFSA 2013"
"12_sub_bnvd";"1,4-dimethylnaphtalene";"571-58-4";"DRfA";"non pertinent";"";"";"UE 01/07/14";"";"";"";"";"non nécessaire";"Not appl.";"";"";"EFSA 2013"
"13_sub_bnvd";"1,5-diaminopentane";"462-94-2";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14_sub_bnvd";"1-dodecanol";"112-53-8";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"14_sub_bnvd";"1-dodecanol";"112-53-8";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"Not appl.";"";"";"Dir 08/127"
"14_sub_bnvd";"1-dodecanol";"112-53-8";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"Not appl.";"";"";"Dir 08/127"
"14_sub_bnvd";"1-dodecanol";"112-53-8";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"Not appl.";"";"";"Dir 08/127"
"15_sub_bnvd";"1-methylcyclopropene (1-mcp)";"3100-04-7";"AAOEL";"";0.12;"mg/kg pc";"UE 01/08/19";"90 jours, voie orale, chien";"12.3";"mg/kg/p.c./j";100;"non nécessaire";"";"";"";""
"15_sub_bnvd";"1-methylcyclopropene (1-mcp)";"3100-04-7";"AOEL";"";0.04;"mg/kg/j";"UE 01/08/19";"90 jours, voie orale, chien";"4.1";"mg/kg p.c./j";100;"non nécessaire";"";0.04;"mg/kg bw/day";"Reg. (EU) 2019/1085"
"15_sub_bnvd";"1-methylcyclopropene (1-mcp)";"3100-04-7";"DJA";"";0.02;"mg/kg/j";"UE 01/08/19";"28 jours, voie orale, chien";"4.1";"mg/kg p.c./j";200;"non nécessaire";"";0.02;"mg/kg bw/day";"Reg. (EU) 2019/1085"
"15_sub_bnvd";"1-methylcyclopropene (1-mcp)";"3100-04-7";"DRfA";"";0.12;"mg/kg pc";"UE 01/08/19";"90 jours, voie orale, chien";"12.3";"mg/kg p.c./j";100;"non nécessaire";"";0.12;"mg/kg bw";"Reg. (EU) 2019/1085"
"16_sub_bnvd";"1-tetradecanol";"112-72-1";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"16_sub_bnvd";"1-tetradecanol";"112-72-1";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"Not appl.";"";"";"Dir 08/127"
"16_sub_bnvd";"1-tetradecanol";"112-72-1";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"Not appl.";"";"";"Dir 08/127"
"16_sub_bnvd";"1-tetradecanol";"112-72-1";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"Not appl.";"";"";"Dir 08/127"
"17_sub_bnvd";"2 phenyl-phenol";"90-43-7";"AOEL";"";"";"";"";"";"";"";"";"";"";0.4;"mg/kg bw/day";"EFSA 08"
"17_sub_bnvd";"2 phenyl-phenol";"90-43-7";"DJA";"";"";"";"";"";"";"";"";"";"";0.4;"mg/kg bw/day";"EFSA 08"
"17_sub_bnvd";"2 phenyl-phenol";"90-43-7";"DRfA";"";"";"";"";"";"";"";"";"";"Not appl.";"";"";"EFSA 08"
"18_sub_bnvd";"2,4-d";"94-75-7";"AOEL";"";0.02;"mg/kg/j";"UE 06/10/17";"1 an, voie orale, chien";"2.04";"mg/kg p.c./j";100;"non nécessaire";"";0.02;"mg/kg bw/day";"Reg. (EU) 2015/2033"
"18_sub_bnvd";"2,4-d";"94-75-7";"DJA";"";0.02;"mg/kg/j";"UE 06/10/17";"1 an, voie orale, chien";"2.04";"mg/kg p.c./j";100;"non nécessaire";"";0.02;"mg/kg bw/day";"Reg. (EU) 2015/2033"
"18_sub_bnvd";"2,4-d";"94-75-7";"DRfA";"";0.3;"mg/kg pc";"UE 06/10/17";"Tératogenèse, voie orale, rat";"31.25";"mg/kg/p.c./j";100;"non nécessaire";"";0.3;"mg/kg bw";"Reg. (EU) 2015/2033"
"19_sub_bnvd";"2,4-db";"94-82-6";"AOEL";"";0.02;"mg/kg/j";"UE 01/11/17";"1 an, voie orale, chien";"2.04";"mg/kg p.c./j";100;"non nécessaire";"";0.02;"mg/kg bw/day";"Reg. (EU) 2017/1491"
"19_sub_bnvd";"2,4-db";"94-82-6";"DJA";"";0.02;"mg/kg/j";"UE 01/11/17";"1 an, voie orale, chien";"2.04";"mg/kg p.c./j";100;"non nécessaire";"";0.02;"mg/kg bw/day";"Reg. (EU) 2017/1491"
"19_sub_bnvd";"2,4-db";"94-82-6";"DRfA";"";0.3;"mg/kg pc";"UE 01/11/17";"Tératogenèse, voie orale, rat";"31.25";"mg/kg/p.c./j";100;"non nécessaire";"";0.3;"mg/kg bw";"Reg. (EU) 2017/1491"
"20_sub_bnvd";"2,4-mcpa";"94-74-6";"AOEL";"";0.04;"mg/kg/j";"UE 01/05/06";"90 jours, voie orale, rat";"4";"mg/kg p.c./j";100;"non nécessaire";"";0.04;"mg/kg bw/day";"Dir 05/57"
"20_sub_bnvd";"2,4-mcpa";"94-74-6";"DJA";"";0.05;"mg/kg/j";"UE 01/05/06";"2 ans, voie orale, rat";"1.3";"mg/kg p.c./j";100;"non nécessaire";"";0.05;"mg/kg bw/day";"SCoFCAH July 08"
"20_sub_bnvd";"2,4-mcpa";"94-74-6";"DRfA";"";0.15;"mg/kg pc";"UE 01/05/06";"Tératogenèse, voie orale, lapin";"15";"mg/kg p.c./j";100;"non nécessaire";"";0.15;"mg/kg bw";"Dir 05/57"
"21_sub_bnvd";"2,4-mcpb";"94-81-5";"AOEL";"";0.06;"mg/kg/j";"UE 01/05/06";"90 jours, voie orale, rat";"6.3";"mg/kg p.c./j";100;"non nécessaire";"";0.06;"mg/kg bw/day";"Dir 05/57"
"21_sub_bnvd";"2,4-mcpb";"94-81-5";"DJA";"";0.01;"mg/kg/j";"UE 01/05/06";"2 ans, voie orale, rat";"1.3";"mg/kg p.c./j";100;"non nécessaire";"";0.01;"mg/kg bw/day";"Dir 05/57"
"21_sub_bnvd";"2,4-mcpb";"94-81-5";"DRfA";"";0.05;"mg/kg pc";"UE 01/05/06";"Tératogenèse, voie orale, lapin";"5";"mg/kg p.c./j";100;"non nécessaire";"";0.05;"mg/kg bw";"Dir 05/57"
"22_sub_bnvd";"2-methyl-1-naphtylacetamide";"85-07-4";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23_sub_bnvd";"6-benzyladenine";"1214-39-7";"AOEL";"";0.03;"mg/kg/j";"UE 03/01/11";"Tératogenèse, voie orale, lapin";"10";"mg/kg p.c./j";300;"non nécessaire";"";0.03;"mg/kg bw/day";"11/1/EU"
"23_sub_bnvd";"6-benzyladenine";"1214-39-7";"DJA";"";0.01;"mg/kg/j";"UE 03/01/11";"Tératogenèse, voie orale, lapin";"10";"mg/kg p.c./j";1000;"non nécessaire";"";0.01;"mg/kg bw/day";"11/1/EU"
"23_sub_bnvd";"6-benzyladenine";"1214-39-7";"DRfA";"non pertinent";"";"";"UE 03/01/11";"";"";"";"";"non nécessaire";"Not appl.";"";"";"11/1/EU"
"24_sub_bnvd";"8-hydroxiquinoline";"148-24-3";"AAOEL";"";0.01;"mg/kg pc";"UE 15/05/25";"Tératogenèse, voie orale, lapin";"5";"mg/kg/p.c./j";300;"4 %";"";0.01;"mg/kg bw";"Reg. (EU)  2025/1152"
"24_sub_bnvd";"8-hydroxiquinoline";"148-24-3";"AOEL";"";0.01;"mg/kg/j";"UE 15/05/25";"Tératogenèse, voie orale, lapin";"5";"mg/kg/p.c./j";300;"4 %";"";0.01;"mg/kg bw/day";"Reg. (EU)  2025/1152"
"24_sub_bnvd";"8-hydroxiquinoline";"148-24-3";"DJA";"";0.017;"mg/kg/j";"UE 15/05/25";"Tératogenèse, voie orale, lapin";"5";"mg/kg/p.c./j";300;"non nécessaire";"";0.017;"mg/kg bw/day";"Reg. (EU)  2025/1152"
"24_sub_bnvd";"8-hydroxiquinoline";"148-24-3";"DRfA";"";0.017;"mg/kg pc";"UE 15/05/25";"Tératogenèse, voie orale, lapin";"5";"mg/kg/p.c./j";300;"non nécessaire";"";0.017;"mg/kg bw";"Reg. (EU)  2025/1152"
"25_sub_bnvd";"abamectine";"71751-41-2";"AAOEL";"";0.0012;"mg/kg/j";"UE 08/03/23";"Neurotoxicité du développement, rat";"0.12";"mg/kg/p.c./j";100;"non nécessaire";"";0.0012;"mg/kg bw/day";"Reg. (EU) 2023/515"
"25_sub_bnvd";"abamectine";"71751-41-2";"AOEL";"";0.0012;"mg/kg/j";"UE 08/03/23";"Neurotoxicité du développement, rat";"0.12";"mg/kg/p.c./j";100;"non nécessaire";"";0.0012;"mg/kg bw/day";"Reg. (EU) 2023/515"
"25_sub_bnvd";"abamectine";"71751-41-2";"DJA";"";0.0012;"mg/kg/j";"UE 08/03/23";"Neurotoxicité du développement, rat";"0.12";"mg/kg p.c./j";100;"non nécessaire";"";0.0012;"mg/kg bw/day";"Reg. (EU) 2023/515"
"25_sub_bnvd";"abamectine";"71751-41-2";"DRfA";"";0.0012;"mg/kg pc";"UE 08/03/23";"Neurotoxicité du développement, rat";"0.12";"mg/kg/p.c./j";100;"non nécessaire";"";0.0012;"mg/kg bw";"Reg. (EU) 2023/515"
"26_sub_bnvd";"abe-it 56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27_sub_bnvd";"acequinocyl";"57960-19-7";"AOEL";"";0.014;"mg/kg/j";"UE 01/09/14";"1 an, voie orale, chien";"5";"mg/kg p.c./j";100;"28%";"";0.014;"mg/kg bw/day";"Reg. (EU) No 496/2014"
"27_sub_bnvd";"acequinocyl";"57960-19-7";"DJA";"";0.023;"mg/kg/j";"UE 01/09/14";"2 ans, voie orale, rat";"2.3";"mg/kg p.c./j";100;"non nécessaire";"";0.023;"mg/kg bw/day";"Reg. (EU) No 496/2014"
"27_sub_bnvd";"acequinocyl";"57960-19-7";"DRfA";"";0.08;"mg/kg pc";"UE 01/09/14";"Autre(s) étude(s)";"8";"mg/kg p.c./j";100;"non nécessaire";"";0.08;"mg/kg bw";"Reg. (EU) No 496/2014"
"28_sub_bnvd";"acetamipride";"135410-20-7";"AAOEL";"";0.025;"mg/kg pc";"UE 01/03/18";"Neurotoxicité du développement, rat";"2.5";"mg/kg/p.c./j";100;"non nécessaire";"";0.025;"mg/kg bw/day";"Reg. (EU) 2018/113"
"28_sub_bnvd";"acetamipride";"135410-20-7";"AOEL";"";0.025;"mg/kg/j";"UE 01/03/18";"Neurotoxicité du développement, rat";"2.5";"mg/kg p.c./j";100;"non nécessaire";"";0.025;"mg/kg bw/day";"Reg. (EU) 2018/113"
"28_sub_bnvd";"acetamipride";"135410-20-7";"DJA";"";0.025;"mg/kg/j";"UE 01/03/18";"Neurotoxicité du développement, rat";"2.5";"mg/kg p.c./j";100;"non nécessaire";"";0.005;"mg/kg bw/day";"Reg. (EU) 2018/113"
"28_sub_bnvd";"acetamipride";"135410-20-7";"DRfA";"";0.025;"mg/kg pc";"UE 01/03/18";"Neurotoxicité du développement, rat";"2.5";"mg/kg p.c./j";100;"non nécessaire";"";0.005;"mg/kg bw";"Reg. (EU) 2018/113"
"29_sub_bnvd";"acetate d'ammonium";"631-61-8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30_sub_bnvd";"acetate de e-8-dodecenyle";"38363-29-0";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"30_sub_bnvd";"acetate de e-8-dodecenyle";"38363-29-0";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"30_sub_bnvd";"acetate de e-8-dodecenyle";"38363-29-0";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"30_sub_bnvd";"acetate de e-8-dodecenyle";"38363-29-0";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"31_sub_bnvd";"acetate de tetradecyle";"638-59-5";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"31_sub_bnvd";"acetate de tetradecyle";"638-59-5";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"Not appl.";"";"";"Dir 08/127"
"31_sub_bnvd";"acetate de tetradecyle";"638-59-5";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"Not appl.";"";"";"Dir 08/127"
"31_sub_bnvd";"acetate de tetradecyle";"638-59-5";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"Not appl.";"";"";"Dir 08/127"
"32_sub_bnvd";"acetate de z-8-dodecenyle";"28079-04-1";"AAOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"32_sub_bnvd";"acetate de z-8-dodecenyle";"28079-04-1";"AOEL";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"32_sub_bnvd";"acetate de z-8-dodecenyle";"28079-04-1";"DJA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"32_sub_bnvd";"acetate de z-8-dodecenyle";"28079-04-1";"DRfA";"non pertinent";"";"";"UE 01/09/22";"";"";"";"";"non nécessaire";"";"";"";""
"33_sub_bnvd";"acetochlore";"34256-82-1";"AOEL";"";"";"";"";"";"";"";"";"";"";0.02;"mg/kg bw/day";"EFSA 11"
"33_sub_bnvd";"acetochlore";"34256-82-1";"DJA";"";"";"";"";"";"";"";"";"";"";0.0036;"mg/kg bw/day";"EFSA 11"
"33_sub_bnvd";"acetochlore";"34256-82-1";"DRfA";"";"";"";"";"";"";"";"";"";"";1.5;"mg/kg bw";"EFSA 11"
"34_sub_bnvd";"acibenzolar-s-methyl";"135158-54-2";"AOEL";"";0.03;"mg/kg/j";"UE 01/04/16";"Tératogenèse, voie orale, rat";"10";"mg/kg p.c./j";300;"non nécessaire";"";0.03;"mg/kg bw/day";"Reg. (EU) 2016/389"
"34_sub_bnvd";"acibenzolar-s-methyl";"135158-54-2";"DJA";"";0.03;"mg/kg/j";"UE 01/04/16";"Tératogenèse, voie orale, rat";"10";"mg/kg p.c./j";300;"non nécessaire";"";0.03;"mg/kg bw/day";"Reg. (EU) 2016/389"
"34_sub_bnvd";"acibenzolar-s-methyl";"135158-54-2";"DRfA";"";0.03;"mg/kg pc";"UE 01/04/16";"Tératogenèse, voie orale, rat";"10";"mg/kg/p.c./j";300;"non nécessaire";"";0.03;"mg/kg bw";"Reg. (EU) 2016/389"
"35_sub_bnvd";"acide 2,5-dichlorobenzoique";"50-79-3";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36_sub_bnvd";"acide 2-methyl-1-naphtylacetique";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37_sub_bnvd";"acide acetique";"64-19-7";"AOEC";"";1.0;"mg/m3";"UE 01/09/09";"Autre(s) étude(s)";"10";"mg/m3";10;"non nécessaire";"";"";"";""
"37_sub_bnvd";"acide acetique";"64-19-7";"AOEL";"";"";"";"";"";"";"";"";"";"Not appl.";"";"";" Reg. (EU) 2015/1108"
"37_sub_bnvd";"acide acetique";"64-19-7";"AOEL";"";"";"";"";"";"";"";"";"";"";"";"";"EFSA 2013"
"37_sub_bnvd";"acide acetique";"64-19-7";"DJA";"non pertinent";"";"";"UE 01/09/09";"";"";"";"";"non nécessaire";"Not appl.";"";"";" Reg. (EU) 2015/1108"
"37_sub_bnvd";"acide acetique";"64-19-7";"DJA";"non pertinent";"";"";"UE 01/09/09";"";"";"";"";"non nécessaire";"Not appl.";"";"";"EFSA 2013"
"37_sub_bnvd";"acide acetique";"64-19-7";"DRfA";"non pertinent";"";"";"UE 01/09/09";"";"";"";"";"non nécessaire";"Not appl.";"";"";" Reg. (EU) 2015/1108"
"37_sub_bnvd";"acide acetique";"64-19-7";"DRfA";"non pertinent";"";"";"UE 01/09/09";"";"";"";"";"non nécessaire";"Not appl.";"";"";"EFSA 2013"
"38_sub_bnvd";"acide alkylbenzene sulfonique lineaire";"68584-22-5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39_sub_bnvd";"acide alpha naphtylacetique (ana)";"86-87-3";"AOEL";"";0.07;"mg/kg/j";"UE 01/01/12";"Tératogenèse, voie orale, rat";"15";"mg/kg/p.c./j";150;"70%";"";0.07;"mg/kg bw/day";"EFSA 11"
"39_sub_bnvd";"acide alpha naphtylacetique (ana)";"86-87-3";"DJA";"";0.1;"mg/kg/j";"UE 01/01/12";"Tératogenèse, voie orale, rat";"15";"mg/kg/p.c./j";150;"non nécessaire";"";0.1;"mg/kg bw/day";"EFSA 11"
"39_sub_bnvd";"acide alpha naphtylacetique (ana)";"86-87-3";"DRfA";"";0.1;"mg/kg pc";"UE 01/01/12";"Tératogenèse, voie orale, rat";"15";"mg/kg/p.c./j";150;"non nécessaire";"";0.1;"mg/kg bw";"EFSA 11"
"40_sub_bnvd";"acide b-indole acetique (aia)";"87-51-4";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41_sub_bnvd";"acide b-indole butyrique (aib)";"133-32-4";"AOEL";"";0.025;"mg/kg/j";"UE 01/06/11";"Tératogenèse, voie orale, lapin";"25";"mg/kg/p.c./j";1000;"non nécessaire";"";"";"";"EFSA 2010"
"41_sub_bnvd";"acide b-indole butyrique (aib)";"133-32-4";"DJA";"non fixée par manque de données";"";"";"UE 01/06/11";"";"";"";"";"non nécessaire";"";"";"";"EFSA 2010"
"41_sub_bnvd";"acide b-indole butyrique (aib)";"133-32-4";"DRfA";"non fixée par manque de données";"";"";"UE 01/06/11";"";"";"";"";"non nécessaire";"";"";"";"EFSA 2010"
"42_sub_bnvd";"acide benzoique";"65-85-0";"AAOEL";"non pertinent";"";"";"UE 01/09/17";"";"";"";"";"non nécessaire";"";"";"";""
"42_sub_bnvd";"acide benzoique";"65-85-0";"AOEL";"";5.0;"mg/kg/j";"UE 01/09/17";"Autre(s) étude(s)";"500";"mg/kg p.c./j";100;"non nécessaire";"";5.0;"mg/kg bw/day";"Reg. (EU) 2017/1113"
