"id_bnvd";"libelle_bnvd";"cas_bnvd";"codes_h_agritox";"codes_h_atp";"categories_danger_agritox";"categories_danger_atp";"mentions_danger_agritox";"mentions_danger_atp";"cmr1";"cmr2";"t_ou_t+";"effet_sur_ou_via_allaitement";"autre_classe_danger_sante";"env_a";"env_b";"autre_classe_danger_environnement";"autre_corrosif";"autre_explosif";"autre_inflammable"
"12_sub_bnvd";"1,4-dimethylnaphtalene";"571-58-4";"H302
H304
H319
H400
H412";"H302
H304
H319
H400
H412";"Toxicité aiguë (par voie orale), catégorie 4
Danger par aspiration, catégorie 1
Lésions oculaires graves/irritation oculaire, catégorie 2/2A
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"Toxicité aiguë (par voie orale), catégorie 4
Danger par aspiration, catégorie 1
Lésions oculaires graves/irritation oculaire, catégorie 2/2A
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"Nocif en cas d’ingestion
Peut être mortel en cas d’ingestion et de pénétration dans les voies respiratoires
Provoque une sévère irritation des yeux
Très toxique pour les organismes aquatiques
Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Nocif en cas d’ingestion
Peut être mortel en cas d’ingestion et de pénétration dans les voies respiratoires
Provoque une sévère irritation des yeux
Très toxique pour les organismes aquatiques
Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;False;False;False;True;True;True;False;False;False;False
"13_sub_bnvd";"1,5-diaminopentane";"462-94-2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14_sub_bnvd";"1-dodecanol";"112-53-8";"H315
H317
H319
H336
H411";"";"Corrosion/irritation cutanée, catégorie 2
Sensibilisation cutanée, catégorie 1B
Lésions oculaires graves/irritation oculaire, catégorie 2/2A
Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 3 : Effets narcotiques
Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Provoque une irritation cutanée
Peut provoquer une allergie cutanée
Provoque une sévère irritation des yeux
Peut provoquer somnolence ou vertiges
Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;True;True;False;False;False;False;False
"15_sub_bnvd";"1-methylcyclopropene (1-mcp)";"3100-04-7";"H412";"";"Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"";"Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;False;False;True;False;False;False;False
"16_sub_bnvd";"1-tetradecanol";"112-72-1";"H315
H317
H319
H336";"";"Corrosion/irritation cutanée, catégorie 2
Sensibilisation cutanée, catégorie 1B
Lésions oculaires graves/irritation oculaire, catégorie 2/2A
Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 3 : Effets narcotiques";"";"Provoque une irritation cutanée
Peut provoquer une allergie cutanée
Provoque une sévère irritation des yeux
Peut provoquer somnolence ou vertiges";"";False;False;False;False;True;False;False;False;False;False;False
"17_sub_bnvd";"2 phenyl-phenol";"90-43-7";"";"H314
H317
H318
H351
H400
H410";"";"Corrosion/irritation cutanée, catégorie 1
Sensibilisation cutanée, catégorie 1B
Lésions oculaires graves/irritation oculaire, catégorie 1
Cancérogénicité, catégorie 2
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"";"Provoque des brûlures de la peau et des lésions oculaires graves
Peut provoquer une allergie cutanée
Provoque des lésions oculaires graves
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;True;False;False;True;True;False;False;False;False;False
"18_sub_bnvd";"2,4-d";"94-75-7";"H302
H317
H318
H335
H412";"H302
H317
H318
H335
H412";"Toxicité aiguë (par voie orale), catégorie 4
Sensibilisation cutanée, catégorie 1
Lésions oculaires graves/irritation oculaire, catégorie 1
Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 3 : Irritation des voies respiratoires
Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"Toxicité aiguë (par voie orale), catégorie 4
Sensibilisation cutanée, catégorie 1
Lésions oculaires graves/irritation oculaire, catégorie 1
Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 3 : Irritation des voies respiratoires
Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"Nocif en cas d’ingestion
Peut provoquer une allergie cutanée
Provoque des lésions oculaires graves
Peut irriter les voies respiratoires
Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Nocif en cas d’ingestion
Peut provoquer une allergie cutanée
Provoque des lésions oculaires graves
Peut irriter les voies respiratoires
Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;False;False;False;True;False;True;False;False;False;False
"19_sub_bnvd";"2,4-db";"94-82-6";"H302
H411";"H302
H411";"Toxicité aiguë (par voie orale), catégorie 4
Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"Toxicité aiguë (par voie orale), catégorie 4
Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"Nocif en cas d’ingestion
Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Nocif en cas d’ingestion
Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;False;False;False;True;True;False;False;False;False;False
"20_sub_bnvd";"2,4-mcpa";"94-74-6";"H302
H315
H318
H400
H410";"H302
H315
H318
H400
H410";"Toxicité aiguë (par voie orale), catégorie 4
Corrosion/irritation cutanée, catégorie 2
Lésions oculaires graves/irritation oculaire, catégorie 1
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Toxicité aiguë (par voie orale), catégorie 4
Corrosion/irritation cutanée, catégorie 2
Lésions oculaires graves/irritation oculaire, catégorie 1
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Nocif en cas d’ingestion
Provoque une irritation cutanée
Provoque des lésions oculaires graves
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Nocif en cas d’ingestion
Provoque une irritation cutanée
Provoque des lésions oculaires graves
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;False;False;False;True;True;False;False;False;False;False
"21_sub_bnvd";"2,4-mcpb";"94-81-5";"H400
H410";"H400
H410";"Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;False;False;False;False;True;False;False;False;False;False
"22_sub_bnvd";"2-methyl-1-naphtylacetamide";"85-07-4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23_sub_bnvd";"6-benzyladenine";"1214-39-7";"H302
H361d
H400
H411";"";"Toxicité aiguë (par voie orale), catégorie 4
Toxicité pour la reproduction, catégorie 2(d)
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Nocif en cas d’ingestion
Susceptible de nuire au fœtus.
Très toxique pour les organismes aquatiques
Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;True;False;False;True;True;False;False;False;False;False
"24_sub_bnvd";"8-hydroxiquinoline";"148-24-3";"H301
H317
H318
H360D
H400
H410";"H301
H317
H318
H360D
H400
H410";"Toxicité aiguë (par voie orale), catégorie 3
Sensibilisation cutanée, catégorie 1
Lésions oculaires graves/irritation oculaire, catégorie 1
Toxicité pour la reproduction, catégorie 1B(D)
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Toxicité aiguë (par voie orale), catégorie 3
Sensibilisation cutanée, catégorie 1
Lésions oculaires graves/irritation oculaire, catégorie 1
Toxicité pour la reproduction, catégorie 1B(D)
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Toxique en cas d’ingestion
Peut provoquer une allergie cutanée
Provoque des lésions oculaires graves
Peut nuire au fœtus.
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Toxique en cas d’ingestion
Peut provoquer une allergie cutanée
Provoque des lésions oculaires graves
Peut nuire au fœtus.
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";True;False;True;False;True;True;False;False;False;False;False
"25_sub_bnvd";"abamectine";"71751-41-2";"H300
H330
H361d
H372
H400
H410";"H300
H330
H361d
H372
H400
H410";"Toxicité aiguë (par voie orale), catégorie 2
Toxicité aiguë (par inhalation), catégorie 1
Toxicité pour la reproduction, catégorie 2(d)
Toxicité spécifique pour certains organes cibles – Exposition répétée, catégorie 1
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Toxicité aiguë (par voie orale), catégorie 2
Toxicité aiguë (par inhalation), catégorie 1
Toxicité pour la reproduction, catégorie 2(d)
Toxicité spécifique pour certains organes cibles – Exposition répétée, catégorie 1
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Mortel en cas d’ingestion
Mortel par inhalation
Susceptible de nuire au fœtus.
Risque avéré d’effets graves pour les organes à la suite d’expositions répétées ou d’une exposition prolongée
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Mortel en cas d’ingestion
Mortel par inhalation
Susceptible de nuire au fœtus.
Risque avéré d’effets graves pour le système nerveux à la suite d’expositions répétées ou d’une exposition prolongée
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;True;True;False;False;True;False;False;False;False;False
"26_sub_bnvd";"abe-it 56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27_sub_bnvd";"acequinocyl";"57960-19-7";"H317
H370
H373
H400
H410";"H317
H370
H373
H400
H410";"Sensibilisation cutanée, catégorie 1
Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 1
Toxicité spécifique pour certains organes cibles – Exposition répétée, catégorie 2
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Sensibilisation cutanée, catégorie 1
Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 1
Toxicité spécifique pour certains organes cibles – Exposition répétée, catégorie 2
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Peut provoquer une allergie cutanée
Risque avéré d’effets graves pour les organes
Risque présumé d’effets graves pour les organes à la suite d’expositions répétées ou d’une exposition prolongée
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Peut provoquer une allergie cutanée
Risque avéré d’effets graves pour les poumons (inhalation)
Risque présumé d’effets graves pour le système sanguin à la suite d’expositions répétées ou d’une exposition prolongée
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;False;True;False;True;True;False;False;False;False;False
"28_sub_bnvd";"acetamipride";"135410-20-7";"H301
H361d
H412";"H301
H361d
H400
H410";"Toxicité aiguë (par voie orale), catégorie 3
Toxicité pour la reproduction, catégorie 2(d)
Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"Toxicité aiguë (par voie orale), catégorie 3
Toxicité pour la reproduction, catégorie 2(d)
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Toxique en cas d’ingestion
Susceptible de nuire au fœtus.
Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Toxique en cas d’ingestion
Susceptible de nuire au fœtus.
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;True;True;False;False;True;True;False;False;False;False
"29_sub_bnvd";"acetate d'ammonium";"631-61-8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30_sub_bnvd";"acetate de e-8-dodecenyle";"38363-29-0";"H411";"";"Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;False;True;False;False;False;False;False
"31_sub_bnvd";"acetate de tetradecyle";"638-59-5";"H411";"";"Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;False;True;False;False;False;False;False
"32_sub_bnvd";"acetate de z-8-dodecenyle";"28079-04-1";"H411";"";"Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;False;True;False;False;False;False;False
"33_sub_bnvd";"acetochlore";"34256-82-1";"";"H315
H317
H332
H335
H351
H361f
H373
H400
H410";"";"Corrosion/irritation cutanée, catégorie 2
Sensibilisation cutanée, catégorie 1
Toxicité aiguë (par inhalation), catégorie 4
Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 3 : Irritation des voies respiratoires
Cancérogénicité, catégorie 2
Toxicité pour la reproduction, catégorie 2(f)
Toxicité spécifique pour certains organes cibles – Exposition répétée, catégorie 2
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"";"Provoque une irritation cutanée
Peut provoquer une allergie cutanée
Nocif par inhalation
Peut irriter les voies respiratoires
Susceptible de nuire à la fertilité.
Risque présumé d’effets graves pour les reins à la suite d’expositions répétées ou d’une exposition prolongée
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;True;False;False;True;True;False;False;False;False;False
"34_sub_bnvd";"acibenzolar-s-methyl";"135158-54-2";"H315
H317
H319
H335
H400
H410";"H315
H317
H319
H335
H400
H410";"Corrosion/irritation cutanée, catégorie 2
Sensibilisation cutanée, catégorie 1
Lésions oculaires graves/irritation oculaire, catégorie 2/2A
Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 3 : Irritation des voies respiratoires
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Corrosion/irritation cutanée, catégorie 2
Sensibilisation cutanée, catégorie 1
Lésions oculaires graves/irritation oculaire, catégorie 2/2A
Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 3 : Irritation des voies respiratoires
Dangers pour le milieu aquatique – Danger aigu, catégorie 1
Dangers pour le milieu aquatique – Danger chronique, catégorie 1";"Provoque une irritation cutanée
Peut provoquer une allergie cutanée
Provoque une sévère irritation des yeux
Peut irriter les voies respiratoires
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Provoque une irritation cutanée
Peut provoquer une allergie cutanée
Provoque une sévère irritation des yeux
Peut irriter les voies respiratoires
Très toxique pour les organismes aquatiques
Très toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;False;False;False;True;True;False;False;False;False;False
"35_sub_bnvd";"acide 2,5-dichlorobenzoique";"50-79-3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36_sub_bnvd";"acide 2-methyl-1-naphtylacetique";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37_sub_bnvd";"acide acetique";"64-19-7";"H226
H314";"H226
H314";"Liquides inflammables, catégorie 3
Corrosion/irritation cutanée, catégorie 1A";"Liquides inflammables, catégorie 3
Corrosion/irritation cutanée, catégorie 1A";"Liquide et vapeurs inflammables
Provoque des brûlures de la peau et des lésions oculaires graves";"Liquide et vapeurs inflammables
Provoque des brûlures de la peau et des lésions oculaires graves";False;False;False;False;True;False;False;False;False;False;True
"38_sub_bnvd";"acide alkylbenzene sulfonique lineaire";"68584-22-5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39_sub_bnvd";"acide alpha naphtylacetique (ana)";"86-87-3";"H302
H318
H361d
H411";"";"Toxicité aiguë (par voie orale), catégorie 4
Lésions oculaires graves/irritation oculaire, catégorie 1
Toxicité pour la reproduction, catégorie 2(d)
Dangers pour le milieu aquatique – Danger chronique, catégorie 2";"";"Nocif en cas d’ingestion
Provoque des lésions oculaires graves
Susceptible de nuire au fœtus.
Toxique pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;True;False;False;True;True;False;False;False;False;False
"40_sub_bnvd";"acide b-indole acetique (aia)";"87-51-4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41_sub_bnvd";"acide b-indole butyrique (aib)";"133-32-4";"H302
H361fd";"";"Toxicité aiguë (par voie orale), catégorie 4
Toxicité pour la reproduction, catégorie 2(fd)";"";"Nocif en cas d’ingestion
Susceptible de nuire à la fertilité. Susceptible de nuire au fœtus.";"";False;True;False;False;True;False;False;False;False;False;False
"42_sub_bnvd";"acide benzoique";"65-85-0";"H315
H318
H372";"H315
H318
H372";"Corrosion/irritation cutanée, catégorie 2
Lésions oculaires graves/irritation oculaire, catégorie 1
Toxicité spécifique pour certains organes cibles – Exposition répétée, catégorie 1";"Corrosion/irritation cutanée, catégorie 2
Lésions oculaires graves/irritation oculaire, catégorie 1
Toxicité spécifique pour certains organes cibles – Exposition répétée, catégorie 1";"Provoque une irritation cutanée
Provoque des lésions oculaires graves
Risque avéré d’effets graves pour les organes à la suite d’expositions répétées ou d’une exposition prolongée";"Provoque une irritation cutanée
Provoque des lésions oculaires graves
Risque avéré d’effets graves pour les poumons à la suite d’expositions répétées ou d’une exposition prolongée (inhalation)";False;False;True;False;True;False;False;False;False;False;False
"43_sub_bnvd";"acide blue 9";"2650-18-2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44_sub_bnvd";"acide citrique";"77-92-9";"";"H319
H335";"";"Lésions oculaires graves/irritation oculaire, catégorie 2/2A
Toxicité spécifique pour certains organes cibles – Exposition unique, catégorie 3 : Irritation des voies respiratoires";"";"Provoque une sévère irritation des yeux
Peut irriter les voies respiratoires";False;False;False;False;True;False;False;False;False;False;False
"45_sub_bnvd";"acide decanoique";"334-48-5";"H314
H412";"H315
H319
H412";"Corrosion/irritation cutanée, catégorie 1B
Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"Corrosion/irritation cutanée, catégorie 2
Lésions oculaires graves/irritation oculaire, catégorie 2/2A
Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"Provoque des brûlures de la peau et des lésions oculaires graves
Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Provoque une irritation cutanée
Provoque une sévère irritation des yeux
Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;False;False;False;True;False;True;False;False;False;False
"46_sub_bnvd";"acide formique";"64-18-6";"";"H226
H290
H302
H314
H318
H331";"";"Liquides inflammables, catégorie 3
Substances ou mélanges corrosifs pour les métaux, catégorie 1
Toxicité aiguë (par voie orale), catégorie 4
Corrosion/irritation cutanée, catégorie 1A
Lésions oculaires graves/irritation oculaire, catégorie 1
Toxicité aiguë (par inhalation), catégorie 3";"";"Liquide et vapeurs inflammables
Peut être corrosif pour les métaux
Nocif en cas d’ingestion
Provoque des brûlures de la peau et des lésions oculaires graves
Provoque des lésions oculaires graves
Toxique par inhalation";False;False;True;False;True;False;False;False;True;False;True
"47_sub_bnvd";"acide gibberellique";"77-06-5";"Sans classement";"";"Sans classement";"";"Sans classement";"";False;False;False;False;False;False;False;False;False;False;False
"48_sub_bnvd";"acide gras sous forme de sel d'amine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49_sub_bnvd";"acide halauxifene";"943832-60-8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50_sub_bnvd";"acide hydroxyacetique";"79-14-1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51_sub_bnvd";"acide malique";"6915-15-7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"52_sub_bnvd";"acide nonanoique";"112-05-0";"H315
H319
H412";"H315
H319
H412";"Corrosion/irritation cutanée, catégorie 2
Lésions oculaires graves/irritation oculaire, catégorie 2/2A
Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"Corrosion/irritation cutanée, catégorie 2
Lésions oculaires graves/irritation oculaire, catégorie 2/2A
Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"Provoque une irritation cutanée
Provoque une sévère irritation des yeux
Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Provoque une irritation cutanée
Provoque une sévère irritation des yeux
Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;False;False;False;True;False;True;False;False;False;False
"53_sub_bnvd";"acide octanoique";"124-07-2";"H314
H412";"H314
H412";"Corrosion/irritation cutanée, catégorie 1B
Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"Corrosion/irritation cutanée, catégorie 1C
Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"Provoque des brûlures de la peau et des lésions oculaires graves
Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";"Provoque des brûlures de la peau et des lésions oculaires graves
Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";False;False;False;False;True;False;True;False;False;False;False
"54_sub_bnvd";"acide oleique";"112-80-1";"H314
H412";"";"Corrosion/irritation cutanée, catégorie 1B
Dangers pour le milieu aquatique – Danger chronique, catégorie 3";"";"Provoque des brûlures de la peau et des lésions oculaires graves
Nocif pour les organismes aquatiques, entraîne des effets néfastes à long terme";"";False;False;False;False;True;False;True;False;False;False;False
